,,,,,,,,,,SIM 1,SIM 1,SIM 2,SIM 2,,
Roll No.,Names,Location Name,Coordinates,Mobile Company,Model id Number,Network Provider(SIM1),Network Provider(SIM2),Processor,RAM,dB Level,asu,db Level,asu,Uplink Frequency,Downlink Frequency
1,Aman Sharma,College Gate,29.11'2''N / 79.44'15''E,Samsung,SM405F,AIRTEL,N/A,OCTA CORE MAX 2.32 GHz,6GB,-84,56,N/A,N/A,7700kbps,2600kbps
,,Petrol Pump,29.21'22''N / 79.33'25''E,Samsung,,,,,,-85,55,,,7700kbps,2600kbps
,,Block Road,29.11'2''N / 79.33'18''E,Samsung,,,,,,-88,52,,,7700kbps,2600kbps
,,Tikonia,29.21'2''N / 79.13'18''E,Samsung,,,,,,-89,51,,,7700kbps,2600kbps
,,Police Station,29.21'0''N / 79.33'16''E,Samsung,,,,,,-98,42,,,7700kbps,2600kbps
,,bus Stand,29.20'57''N / 79.33'14''E,Samsung,,,,,,-98,42,,,7700kbps,2600kbps
,,Shahi Heritage,29.21'0''N / 79.33'15''E,Samsung,,,,,,-95,45,,,7700kbps,2600kbps
,,Game Zone,29.20'53''N / 79.33'20''E,Samsung,,,,,,-94,46,,,7700kbps,2600kbps
,,Vetnary Heritage,29.21'0''N / 79.33'34''E,Samsung,,,,,,-92,48,,,7700kbps,2600kbps
,,Lake Paradise,29.20'57''N / 79.33'37''E,Samsung,,,,,,-84,56,,,7700kbps,2600kbps
,,PRH,29.20'47''N / 79.33'19''E,Samsung,,,,,,-95,45,,,7700kbps,2600kbps
,,Van Vilas,29.20'28''N / 79.33'30''E,Samsung,,,,,,-94,46,,,7700kbps,2600kbps
,,Hotel Harsrikhar,29.20'23''N / 79.33'29''E,Samsung,,,,,,-97,43,,,7700kbps,2600kbps
,,Pant Park,29.20'21''N / 79.33'40''E,Samsung,,,,,,-88,52,,,7700kbps,2600kbps
,,Malu Sara,29.20'11''N / 79.33'34''E,Samsung,,,,,,-86,54,,,7700kbps,2600kbps
,,SOS Road,29.20'11''N / 79.33'34''E,Samsung,,,,,,-87,53,,,7700kbps,2600kbps
